"word","definition"
"nice","Generally warm, approachable and easy to relate with in character."
"nice","Possessing charm and attractiveness."
"charming","Possessing charm and attractiveness."
"charming","Courteous, gracious, and having a sophisticated charm."
"charming","Capable of arousing desire."
"delightful","Possessing charm and attractiveness."
"lovely","Possessing charm and attractiveness."
"pleasant","Possessing charm and attractiveness."
"pleasant","Enjoying or affording comforting warmth and shelter especially in a small space."
"sweet","Possessing charm and attractiveness."
"sweet","Having the taste characteristic of sugar or honey."
"sweet","A food item that is rich in sugar."
"chess piece","A token that is used for playing chess."
"neon","The chemical element with symbol Ne and atomic number 10, a colorless noble gas."
"spiritual world","A mythological metaphysical plane of existence parallel to the material world and occupied by spirits and other unearthly forces."
"spiritual world","Life after death."
"afterlife","Life after death."
"putsch","The sudden overthrow of a government."
"coup d'état","The sudden overthrow of a government."
"coup d'état","The sudden overthrow of a government, often through illegal means by a part of the state establishment — mostly replacing just the high-level figures."
"Libido","A language spoken in Ethiopia."
"Libido","An East Cushitic language spoken in the Gurage Zone in Ethiopia."
"gallium","Chemical element with symbol Ga and atomic number 31, silvery white main group element."
"gaffe","A foolish error, especially one made in public."
"walkthrough","A peer group review of a product or service created during the systems development process."
"funeral","A ceremony to bury or cremate a deceased person."
"memorial service","A service honoring a deceased person, especially one that does not adhere to the traditional customs of a funeral."
"difficult","Requiring a lot of effort to do or understand."
"difficult","Not easy, which needs hard work, patience and effort."
"guinea pig","(Cavia porcellus) Small rodent."
"Luna","The sole natural satellite of the Earth."
"Luna","A language of the Democratic Republic of the Congo."
"yuan","The Chinese currency."
"yuan","The official currency of China."
"internecine","Mutually destructive, most often applied to warfare causing bloodshed and carnage."
"internecine","Struggling within a group, usually applied to an ethnic or familial relationship or an organization."
"superficial","At face value."
"superficial","Close to the surface."
"shallow","At face value."
"shallow","Close to the surface."
"shallow","Having little depth."
"instep","A section of any footwear covering that part of the foot."
"instep","The upper surface of the human foot between the ankle and the toes."
"journalist","A person who makes a living reporting on news and current events."
"contango","The amount by which prices for future delivery are higher than prices for near deliver."
"missing link","A primate likely to bridge a evolutionary gap between the anthropoid apes and humanoids."
"espresso","Strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans."
"coffee percolator","A kind of pot used to brew coffee."
"espresso coffee pot","A type of pot which is placed on a heat source used to brew coffee."
"moka pot","A type of pot which is placed on a heat source used to brew coffee."
"ditto","The same as what was said previously."
"urgence","The quality or condition of a need for immediate attention."
"urgency","The quality or condition of a need for immediate attention."
"crossbow","A mechanised weapon, based on the bow and arrow, which fires bolts at high speed and accuracy."
"reanimate","To restore to animation or life."
"resuscitate","To cause to regain consciousness."
"germanium","Chemical element with the symbol Ge and atomic number 32. It is a grey-white metalloid."
"zebrafish","A tropical fish belonging to the minnow family (Cyprinidae), commonly kept in aquaria and used for scientific research."
"E","A spoken language in China"
"E","A chemically modified amphetamine that has hallucinogenic as well as stimulant properties."
"E","Musical note between D and F."
"minnow","Any fish of the family Cyprinidae."
"minnow","A fish (Phoxinus phoxinus) of the family Cyprinidae."
"Eurasian minnow","A fish (Phoxinus phoxinus) of the family Cyprinidae."
"thaumaturgy","The working of miracles."
"Kado","A language spoken in Myanmar, China and Laos."
"violence","The property of having extreme force or being wild or turbulent."
"violence","Aggressive behaviour, often an act of aggression."
"putschist","Person participating in a putsch."
"shipwreck","The loss of a ship in sea because of an accident."
"reconcile","To accept unwillingly."
"reconcile","To put back in good terms people that weren't anymore."
"reconcile","To make things compatible."
"reconcile","To bring to an agreement."
"reconcile","To accept as inevitable."
"make up","To put back in good terms people that weren't anymore."
"make up","To be the material or components of."
"make up","To make up something artificial or untrue."
"stock option","The right to buy or sell stock for a certain price in the future."
"call option","Right to buy stock for a certain price in the future."
"put option","Right to sell stock for a certain price in the future."
"ineligibility","State of being ineligible due to a lack of the required conditions to be elected."
"infield","In cricket the region of the field roughly bounded by the wicket keeper, slips, gully, point, cover, mid off, mid on, midwicket and square leg."
"infield","In baseball the region of the field roughly bounded by the home plate, first base, second base and third base."
"oyster","Acephalous marine mollusk, with an irregular bivalve shell."
"obese","Who is too fat."
"barn doors","Four hinged metal slats that come (or are attachable) on the front of cinema lights. They are used for shaping light and fastening light gels."
"prosthesis","An artificial device that replaces a missing body part."
"airbag","A protective system in automobiles in which when a crash occurs, a bag quickly inflates in front of the driver or passenger, preventing injury to the head."
"mannequin","Person whose job is to wear clothes in order to present them."
"xenophobic","Hating foreigners or what comes from abroad."
"krypton","A chemical element with symbol Kr and atomic number of 36; a colorless noble gas."
"xenon","A chemical element with symbol Xe and atomic number of 54, a heavy colorless noble gas."
"semi-detached","A house joined to another one on one side, having one wall shared."
"acoustically","In an acoustic manner, or using an acoustic musical instrument."
"hafnium","Chemical element with symbol Hf and atomic number 72, steel grey transition metal."
"freedom of speech","The right of every person to speak and publish their opinion freely."
"lanthanide","Any of the 15 chemical elements from lanthanum (atomic number 57) to lutetium (atomic number 71) with very similar chemistry."
"globular cluster","A spherical collection of stars that orbits a galaxy core as a satellite."
"cluster","A group of stars that appear near each other."
"cluster","A significant subset within a population."
"cluster","A group of contiguous sectors on a disk."
"cluster","A group of linked computers that work together as if they were a single computer, for high availability and/or load balancing."
"nadir","The point of the celestial sphere, directly opposite the zenith."
"nadir","The lowest point; time of greatest depression."
"hassium","Chemical element with symbol Hs and atomic number 108, radioactive transition metal."
"mollify","To cause to be more favourably inclined."
"Chickasaw","The language spoken by the Chickasaw, a member of the Muskogean language family."
"sailplane","An aircraft with fixed wings, but no engine."
"tellurium","A chemical element with symbol Te and atomic number 52, a silver grey metalloid."
"tellurium","A model that shows the movements of Earth, Moon and Sun and illustrates the phenomena of day and night change, the seasons, the lunar phases and eclipses."
"polonium","A chemical element with symbol Po and atomic number 84, a silver gray poor metal."
"indium","A chemical element with symbol In and atomic number 49, a silver gray poor metal."
"yo-yo","A toy consisting of two weighted discs as a weight, connected with an axle, around which string is wound. There is a loop at the end of the string; the toy is played by putting the loop around a finger, grasping the weight, and throwing it in a smooth motion. Some tricks may be performed before letting the weight return to the hand."
"ant","Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies."
"Baghdad","The largest city and capital of Iraq."
"Bulgaria","A country in southeastern Europe. It borders five countries: Romania to the north mostly along the Danube, Serbia and the Republic of Macedonia to the west, and Greece and Turkey to the south, as well as the Black Sea, which comprises its entire eastern border. Its capital is Sofia."
"boot","Storage compartment for luggage in a car."
"boot","A shoe that covers part of the leg."
"boot","A physical strike using the foot, leg, or knee."
"boot","To cause to load and start (an operating system)."
"Chechen","A north-central Caucasian language spoken in Chechnya."
"Chuvash","A Turkic language spoken in the federal subject of Chuvashia, located in central Russia."
"Kyrgyz","A Northwestern Turkic language, and, together with Russian, an official language of Kyrgyzstan."
"out of service","In or into a state of non-operation."
"closed","Inaccessible."
"nude","Without clothing."
"world war","War in which many countries throughout the world are involved."
"address","An address or form of oral communication in which a speaker makes his thoughts and emotions known before an audience, often for a given purpose.\n(Source: RHW)"
"address","Direction or superscription of a letter, or the name, title, and place of residence of the person addressed."
"address","To give a speech to."
"address","To apply oneself to something."
"Mars","The fourth planet (counted from the center) of our solar system."
"Mars","Roman god of war."
"ninety-nine","The cardinal number occurring after ninety-eight and before hundred, represented in Roman numerals as XCIX and in Arabic numerals as 99."
"urinate","To allow urine to flow from the bladder out of the body."
"pee","To allow urine to flow from the bladder out of the body."
"pee","Liquid excrement consisting of water, salts and urea, which is made in the kidneys, stored in the bladder, then released through the urethra."
"piss off","To tell someone to go away."
"fuck off","To tell someone to go away."
"fuck off","To ask in an insulting way to another person to go away from you, to stop contact with to stop bothering the person to who the insult is addressed."
"stop it","Tell someone to stop the undesirable thing he/she is doing."
"holmium","Chemical element with symbol Ho and atomic number 67, silvery white lanthanide."
"games","Plural of game."
"primary care","A health care provider who acts as a first point of consultation for all patients."
"heart attack","The sudden occurrence of coronary thrombosis which obstructs the blood supply to the heart, resulting in necrosis of heart muscle."
"thrombus","A blood clot formed from platelets and other elements; that forms in a blood vessel in a living organism."
"iridium","Chemical element with symbol Ir and atomic number 77, silvery white transition metal."
"blood clot","A blood clot formed from platelets and other elements; that forms in a blood vessel in a living organism."
"parhelion","Optical phenomenon associated with the refraction of sunlight by ice crystals which appears at a position of circa 22° to the left and/or right of the sun."
"sun dog","Optical phenomenon associated with the refraction of sunlight by ice crystals which appears at a position of circa 22° to the left and/or right of the sun."
"sundog","Optical phenomenon associated with the refraction of sunlight by ice crystals which appears at a position of circa 22° to the left and/or right of the sun."
"typhoid fever","An illness caused by the bacterium Salmonella typhi. It is transmitted by ingestion of food or water contaminated with feces from an infected person. Typical symptoms include stomach pains, high fevers, headaches, and sometimes diarrhea or constipation."
"Northern Europe","A geographic region in the north of Europe, consisting of the Scandinavian and Baltic countries."
"mashed potatos","A dish made with boiled potatoes which are mashed and mixed with milk."
"dozen","A set of twelve."
"watt","The derived SI unit of power defined as one joule of energy transferred per second with symbol ""W""."
"piece","A part of a larger whole."
"piece","A large artillery gun."
"piece","A single item belonging to a class of similar items."
"piece","One of the figures used in playing chess."
"piece","An amount of gold, silver, etc. made into a coin."
"piece","A musical creation."
"piece","An artillery gun."
"piece","A toupee or wig, usually when worn by a man."
"piece","A small portion of food."
"baker's dozen","A set of thirteen."
"nix","To make something become nothing."
"nix","To tell not to do something."
"lanthanum","Chemical element with symbol La and atomic number 57. It is a silvery white metallic element that belongs to group 3 of the periodic table and is a lanthanide."
"boxes","Plural form of box."
"Jerusalem artichoke","Helianthus tuberosus, a kind of sunflower that is grown as a perennial plant."
"peanut","A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground."
"peanut","A plant native to America which produces an edible fruit."
"groundnut","A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground."
"groundnut","A plant native to America which produces an edible fruit."
"earthnut","A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground."
"goober","A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground."
"pinda","A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground."
"jack nut","A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground."
"monkey nut","A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground."
"elephantiasis","A syndrome that is characterized by the thickening of the skin and underlying tissues, especially in the legs and genitals."
"elephant disease","A syndrome that is characterized by the thickening of the skin and underlying tissues, especially in the legs and genitals."
"peanut butter","A spread made from ground peanuts."
"opportunity","A favorable circumstance or occasion."
"strawberry","Fruit of several species of plants of the genus Fragaria."
"lawrencium","Chemical element with symbol Lr and atomic number 103, artificially produced actinide."
"despair","To lose hope."
"despair","Loss of hope."
"actor","A person that plays a designated role in a film or play."
"actor","A male person that plays a designated role in a film or play."
"actress","A female person that plays a designated role in a film or play."
"Gen","A Gbe language spoken in the southeast of Togo in the Maritime Region, and in the Mono Department of Benin."
"dissuade","To convince not to try or do."
"stamp","A piece of paper that is affixed to letters or packages to pay for their delivery."
"stamp","To affix a stamp to."
"doctor","A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients."
"doctor","A person who has obtained a doctorate degree."
"doctor","To change the state of an item (e.g. which was torn or broken) to a working condition again."
"doctor","To alter or make obscure, as with the intention to deceive."
"doctor","To provide medical treatment to."
"physician","A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients."
"plant nursery","Place where plants are grown until they are large enough to be planted in their final positions.\n(Source: PHC)"
"pilot light","A small gas flame, usually natural gas or liquefied petroleum gas, which is kept alight in order to provide an ignition source for a more powerful gas burner."
"shell","A hard outer covering of an animal, as the hard case of a mollusk."
"shell","To end in success a struggle or contest."
"shell","What covers on the outside, for example, a package or a box."
"shell","An operating system software user interface, whose primary purpose is to launch other programs and control their interactions."
"furrow","The cut made in a field by a plough."
"ground","Node of an electrical system that is used as reference potential for all other nodes of the system."
"ground","A mixture of sand and organic material, used to support plant growth."
"ground","To use as a basis for."
"ground","To connect (an electrical conductor or device) to a ground."
"result","The conclusion or end to which any course or condition of things leads."
"result","Having a specific result, a logical consequence."
"result","Condition that which follows something on which it depends."
"result","The result or evidence of students' learning experience."
"nape of the neck","The back part of the neck."
"nape of the neck","The part of the human or animal body between the back and the backhead; the rear side of the neck of a human, the upper side of the neck of most animals."
"driver","A female person who can drive a car."
"driver","A person who can drive a car."
"driver","A program that manages the interaction between the operating system and a hardware device."
"driver","A person who drives a car professionally."
"motorist","A person who can drive a car."
"strange","Out of the ordinary."
"strange","Out of the ordinary."
"strange","Out of the ordinary."
"odd","Out of the ordinary."
"odd","For an integer: not a multiple of two."
"odd","Out of the ordinary."
"odd","Of strange or extraordinary character."
"electric","Utilising electricity."
"electric","By means of electricity"
"call","To contact someone using the telephone."
"call","A conversation by a connection over a telephone network."
"call","To order or summon by using one's voice."
"call","To give a name to."
"call","To state, or make something known in advance, especially using inference or special knowledge."
"call","To give a name or designation of a common noun that, e.g., reflects a quality."
"call","To pay a short visit."
"call","To call a meeting; to invite or order to meet."
"call","To read aloud to check for omissions or absentees."
"call","To utter a characteristic note or cry (e.g. for birds)."
"call","To order or request or give a command for (e.g. a strike)."
"hope","The belief that a desire can be obtained in the future."
"hope","To want something to happen."
"hurt","To be of (some) importance, to influence something or someone (enough), to impress, to touch."
"hurt","To be painful."
"hurt","To cause (somebody) pain."
"hide","To put something in a place where it will be harder to discover or out of sight."
"hide","To prevent from being seen or discovered."
"hide","Skin of an animal."
"sick","Whose health is altered."
"coat","An outer garment covering the upper torso and arms."
"bell","An object made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck."
"bell","A push button at an outer door that gives a ringing or buzzing signal when pushed."
"bell","The sound of a bell being struck."
"lutetium","Chemical element with symbol Lu and atomic number 71, silvery white lanthanide."
"shit","A product made from cannabis plants as a kind of cake, pieces of which are usually smoked so as to create a state of inebriation or euphoria in men."
"shit","Substance that human and animal bodies release from time to time as a little pile of waste remaining from digestion, after it has been collected in the colon."
"shit","To excrete feces from one's body through the anus."
"shit","A strongly disliked person who behaves disgustingly, underhandedly, or nastily, etc."
"shit","Interjection expressing disgust, negative astonishment, possibly sudden regret, or similar, or related feelings."
"shit","Something being said without sense, utterly wrong, of no use at all."
"shit","Of poor quality."
"shit","To shit little lumps of feces."
"bellwether","Anything that indicates future trends."
"bellwether","A sheep, with a bell around its neck, that leads a flock."
"early","Before the expected time."
"entrance","The place of entering, as a gate or doorway."
"entrance","A way or means of approaching or entering."
"entrance","To attract, arouse and hold attention and interest, as by charm or beauty."
"googol","The number 10<sup>100</sup>, written as 1 followed by 100 zeros."
"anytime","At any time."
"shipping","The transport and movement of goods, people and animals over water."
"serious","(Very) serious."
"serious","Of great impact (e.g. for a decision of great impact)."
"serious","Not laughing."
"spark plug","Device causing the ignition of the gas mixture contained in the cylinders of a spark-ignition engine by the creation of an electric arc between two electrodes."
"candlelight","Light that is emitted by a burning candle."
"nonsense","Something said, which noone can understand."
"nonsense","Some information or idea or something said of questionable value or no value at all."
"mister","A title of respect used when addressing a man, sometimes with a surname added."
"sandwich","A snack made of various ingredients (typically meat, cheese, and condiments) placed between two slices of bread."
"hamburger","A hot sandwich typically consisting of a patty of cooked ground beef placed inside a bun along with various vegetables and condiments."
"hamburger","A kind of flat patty of cooked ground beef that typically is placed inside a bun along with various vegetables and condiments."
"manganese","Chemical element with symbol Mn and atomic number 25, silvery transition metal."
"toaster","A device intended to roast slices of bread through the application of dry heat."
"condiment","Ingredient used to enhance the flavor of food; salt or pepper for example."
"holy shit","Interjection expressing disgust, negative astonishment, possibly sudden regret, or similar, or related feelings."
"dogpile","What a dogs body releases from time to time as a little pile of waste remaining from digestion, after it has been collected in the colon."
"dog shit","What a dogs body releases from time to time as a little pile of waste remaining from digestion, after it has been collected in the colon."
"shipwrecked person","A male victim of shipwreck."
"shipwrecked person","A female victim of shipwreck."
"shipwrecked person","The victim of a shipwreck."
"industrial plant","Buildings where the operations related to industrial productive processes are carried out.\n(Source: ZINZAN)"
"industrial plant","The whole of buildings, machines and necessary devices to carry out an activity."
"shipwrecked female","A female victim of shipwreck."
"shipwrecked male","A male victim of shipwreck."
"mean","To have in mind as one's purpose or intention."
"mean","Characterized by malice."
"mean","Having or showing an ignoble lack of honor or morality."
"mean","In mathematics, a measure of the ""middle"" of a data set."
"mean","To assign for a specific end, use, or purpose; to design or destine."
"mean","To have as a logical consequence."
"mean","To intend to express or convey."
"spread","To divide or distribute something in an even way."
"spread","An item in a newspaper or magazine that occupies more than one column or page."
"spread","To spread out or open from a closed or folded state."
"spread","To cause to become widely known."
"spread","To become widely known and passed on."
"spread","The process or result of diffusion, dispersal, expansion, extension, etc."
"spread","A considerable disparity or difference as between two figures."
"spread","To spread across or over (e.g. of liquid spots)."
"spread","To move outward (e.g. soldiers)."
"spread","To distribute or disperse widely."
"spread","To distribute over a surface in a layer."
"keyboard","An electromechanical device with keys affixed to a base used to enter information and interact with a computer."
"keyboard","A component of many instruments including the piano, organ, and harpsichord consisting of usually black and white keys that cause different tones to be produced when struck."
"keyboard","A device with keys of a musical keyboard, used to control electronic sound-producing devices which may be built into or separate from the keyboard device."
"ampere","The standard SI unit of electrical current with symbol ""A""."
"ohm","The derived SI unit of electrical resistance with symbol ""Ω""; the electrical resistance of a device across which a potential difference of one volt causes a current of one ampere."
"volt","The derived SI unit of electrical potential and voltage with symbol ""V""; the potential difference across a conductor when a current of one ampere uses one watt of power."
"unbreakable","Difficult or impossible to break."
"voltmeter","An instrument used for measuring the voltage between two points in an electric circuit."
"ohmmeter","An electrical measuring instrument that measures electrical resistance."
"ammeter","An instrument used to measure the flow of electric current."
"multimeter","An electronic instrument that typically combines the functions an ammeter, voltmeter, and ohmmeter."
"hertz","The SI unit of frequency with symbol ""Hz""."
"tesla","The SI derived unit of magnetic flux density equal to one weber per square metre, with symbol ""T""."
"joule","The SI unit of energy, which is defined as the potential to do work, with symbol ""J""."
"calorie","The amount of energy needed to raise the temperature of one gram of water by one degree Celsius, equal to about 4.19 joules."
"calorie","The amount of energy needed to raise the temperature of one kilogram of water by one degree Celsius."
"specific heat capacity","The measure of the heat energy required to raise the temperature of one gram of a substance by one degree celsius, with symbol ""C"" or ""c""."
"specific heat","The measure of the heat energy required to raise the temperature of one gram of a substance by one degree celsius, with symbol ""C"" or ""c""."
"kelvin","The SI unit of temperature with symbol ""K""."
"axe","A tool for felling trees or chopping wood consisting of a heavy, most commonly metallic head flattened to a blade on one side, and which is attached to a usually wooden handle."
"ax","A tool for felling trees or chopping wood consisting of a heavy, most commonly metallic head flattened to a blade on one side, and which is attached to a usually wooden handle."
"another","One more, in addition to the current one."
"meitnerium","Chemical element with symbol Mt and atomic number 109. It's colour is probably silvery white or metallic gray."
"ago","In the past."
"better","To make better."
"better","Comparative form of good or well."
"better","To surpass in excellence."
"better","To get better."
"kumquat","Small citrus fruit with yellow-orange skin, size 2 to 5 cm; fruit of a tree in the  plant family Rutaceae"
"along","By the length; in a line with the length; lengthwise."
"sedimentation","The separation of an insoluble solid from a liquid in which it is suspended by settling under the influence of gravity or centrifugation."
"sedimentation","The act or process of forming or accumulating sediment in layers, including such processes as the separation of rock particles from the material from which the sediment is derived, the transportation of these particles to the site of deposition, the actual deposition or settling of the particles, the chemical and other changes occurring in the sediment, and the ultimate consolidation of the sediment into solid rock.\n(Source: BJGEO)"
"control","To exercise influence over, to suggest or dictate the behavior of."
"control","To handle and cause to function."
"control","To perform surgery on."
"beard","Facial hair of humans on the chin, cheeks and jaw."
"compare","To assess the similarities between two things."
"compare","To be comparable."
"compare","To consider or describe as similar, equal, or analogous."
"bright","Of high or especially quick cognitive capacity."
"bright","Visually dazzling."
"bright","Describing the particular astute intellect of a person."
"bright","Bright of colour."
"intelligent","Of high or especially quick cognitive capacity."
"luminous","Visually dazzling."
"radiant","Visually dazzling."
"assuage","To bring peace to a place or situation."
"assuage","To lessen the intensity of a situation."
"assuage","To make easier to endure; provide physical relief, as from pain."
"pacify","To bring peace to a place or situation."
"soothe","To bring peace to a place or situation."
"calm","To lessen the intensity of a situation."
"calm","Showing no trouble or agitation."
"calm","(For a person) Serenely self-possessed and free from agitation especially in times of stress."
"calm","Smooth or having only gentle waves."
"calm","(of weather) free from storm or wind."
"mitigate","To lessen the intensity of a situation."
"relieve","To lessen the intensity of a situation."
"relieve","To make easier to endure; provide physical relief, as from pain."
"relieve","To grant relief or an exemption from a rule or requirement to."
"careless","Not giving sufficient attention or thought, especially concerning the avoidance of harm or mistakes."
"break","Destroy in two or more pieces, which can't easily be reassembled."
"break","To surpass in excellence."
"break","To stop functioning properly or altogether."
"break","To cause to stop functioning properly or altogether."
"break","The breaking of hard tissue such as bone."
"break","To hold back, as of a danger or an enemy; check the expansion or influence of."
"break","To prevent completion (e.g. of a project, of negotiations, etc.)."
"break","To break a hard tissue such as a bone."
"destroy","To damage beyond use or repair."
"destroy","To cause the destruction of."
"lately","In a time in the recent past."
"recently","In a time in the recent past."
"page","One side of a leaf of a book or manuscript."
"page","A sheet of a book, magazine, etc (consisting of two pages, one on each face of the leaf)."
"person","A human being."
"punish","To administer disciplinary action."
"punish","As an authority, to impose an undesirable condition on a person who has performed an unacceptable behavior."
"punish","To cause great harm to."
"punish","To return harm for a good act."
"castigate","To administer disciplinary action."
"own","To have rightful possession of property, goods or capital."
"own","To be in possession (of an object)."
"own","Belonging to."
"decide","To reach, make, or come to a decision about something."
"decide","To bring to an end; to settle conclusively."
"decide","To influence or determine."
"phobia","An irrational or obsessive fear or anxiety, usually of or about something particular."
"everyone","Every person."
"easy","Requiring little skill or effort; posing no difficulty."
"wish","To hope for a particular outcome; to have a wish."
"wish","The expression of a need or desire."
"wish","To prefer or wish to do something."
"wish","To invoke upon (e.g. farewell, a nice evening, etc.)."
"neither","Not one of two."
"neither","To not do or be something in a similar manner."
"nothing","Not any thing."
"none","Not any of previously mentioned things."
"cargo ship","A ship which is exclusively intended for the transport of goods."
"freighter","A ship which is exclusively intended for the transport of goods."
"sailing ship","A vessel that is powered by the wind."
"lung","A biological organ that extracts oxygen from the air."
"behave","Act in a polite or proper way."
"behave","To act in a (specified or unspecified) way, in a social context."
"between","In the location or interval between two or among more objects, sides."
"between","In the position or interval that separates two things."
"born","Given birth to"
"born","Being talented through inherited qualities."
"bottom","The part furthest in the direction toward which an unsupported object would fall."
"bottom","A depression forming the ground under a body of water."
"bottom","The fleshy part of the human body that one sits on."
"bottom","Situated at the bottom or lowest position."
"besides","In addition to what has been said."
"besides","In addition to."
"bring","Participation in building a capital, particpation in a payment."
"bring","To apply a quality on (a person)."
"bring","To transport toward somewhere; to take something or somebody with oneself somewhere."
"bring","To go or come after and bring or take back."
"bring","To be accompanied by."
"bring","To advance or set forth in court (e.g. charges or proceedings)."
"around","In the immediate neighbourhood of."
"around","Over or upon different parts of; through or over in various directions; back and forth in."
"around","[Said for a quantity (time, size, place, ...) that is given] in a imprecise way but close to the real value."
"around","Following a path which curves near an object, with the object on the inside of the curve"
"anything","Any object, act, state, event, or fact whatever."
"anything","In any way."
"away","Not where something or someone usually is."
"away","In a direction away from the speaker or object."
"away","At a distance in space or time."
"away","At the opponent's ground; in the opposing team's stadium."
"absent","Not where something or someone usually is."
"absent","Inattentive to what is passing."
"gone","Not where something or someone usually is."
"Gilaki","Language of Gils people who live in Gilan, Iran."
"half-moon","The lunar phase between new moon and full moon during which only half of the moon is visible."
"half moon","The lunar phase between new moon and full moon during which only half of the moon is visible."
"crescent-shaped","Having the shape of a crescent."
"go","To cease to live."
"go","A board game, originally from China."
"go","To move from a place to another that is further away."
"great","Very big."
"great","Title referring to an important leader."
"great","Very good."
"great","Deserving praise; worth to be praised."
"Black Forest","A mountain area in Baden-Württemberg in south-western Germany."
"from","Indicates the source or provenance."
"from","Starting from the moment that ..."
"from","Starting from the place where."
"provenance","The place and time where some artifact or object originated from."
"procure","To get or obtain an item; to come into the possession of something."
"procure","To succeed obtaining."
"obtain","To get or obtain an item; to come into the possession of something."
"obtain","To get a characteristic."
"amputation","A surgical operation consisting of the removal of all or part of a limb."
"mix","To stir two or more substances together."
"mix","To mix together different elements."
"chase","To follow at speed with the intent to catch."
"chase","Try to reach a goal which is difficult to reach craving for it."
"pursue","To follow at speed with the intent to catch."
"pursue","Trying to achieve or to reach something."
"chance","A favorable circumstance or occasion."
"possibility","A favorable circumstance or occasion."
"contain","To contain or hold; have within."
"contain","To hold back, as of a danger or an enemy; check the expansion or influence of."
"enclose","To contain or hold; have within."
"wise","Not showing due respect."
"wise","Showing good judgement or the benefit of experience."
"sad","Feeling mentally uncomfortable because something is missing or wrong."
"physicist","Scientist who studies or practices physics."
"park","Area of ground or a building where there is space for vehicles to be parked."
"park","A public place or area set aside for recreation or preservation of a cultural or natural resource."
"park","To bring (something such as a vehicle) to a halt or store in a specified place."
"partner","Someone who is associated with another in a common activity or interest."
"partner","A person who joins with others in some activity."
"partner","Participating in a society with an economic goal."
"mendelevium","Chemical element with symbol Md and atomic number 101, artificially manufactured actinide."
"curfew","A regulation requiring people to be off the streets and in their homes during a certain period."
"curfew","A signal (usually a bell) announcing the start of curfew restrictions."
"curfew","The time that the curfew signal is sounded."
"care","Treatment done for a patient in order to alleviate his pain and to heal him."
"care","Feeling and exhibiting concern and empathy for others."
"care","To feel concern or interest."
"care","To provide care for."
"care","To prefer or wish to do something."
"close","At a little distance."
"close","To make something end."
"close","To move (a door, a window, etc.) so that it closes its opening."
"close","Not far distant in time or space or degree or circumstances."
"close","To become closed."
"close","To cease to operate or cause to cease operating (e.g. a business or a shop)."
"close","To complete a business deal, negotiation, or an agreement."
"close","To be priced or listed when trading stops."
"close","To cause a window or an application to disappear on a computer desktop."
"careful","Giving attention."
"careful","Characterized by caution."
"carry","To contain or hold; have within."
"carry","To lift and bring to somewhere else while supporting, either in a vehicle or on one's body; to transport by lifting."
"carry","(For a flow of water, air, etc.) To transport with the flow."
"slow","With low speed."
"slow","Reduce the velocity."
"slow","To become slower."
"catch","To take hold of, especially in the hands, so as to seize or restrain or stop the motion of."
"catch","To discover unexpectedly."
"catch","To succeed in catching or seizing, especially after a chase."
"catch","To attract and fix (e.g. someone or his/her eyes)."
"catch","To perceive by hearing."
"catch","To apprehend and reproduce accurately."
"catch","To perceive with the senses quickly, suddenly, or momentarily (e.g. an aroma, an allusion, etc.)."
"catch","To attract, arouse and hold attention and interest, as by charm or beauty."
"catch","A drawback or difficulty that is not readily apparent."
"catch","To reach with a blow or hit in a particular spot."
"catch","To hook or entangle."
"catch","To capture as if by hunting, snaring, or trapping."
"catch","To get or regain something necessary (e.g. sleep or breathe), usually quickly or briefly."
"catch","To catch up with and possibly overtake (e.g. cars in a race)."
"catch","The quantity (e.g. of fish) that was caught."
"capture","To take possession of by force."
"capture","To take control of."
"capture","To remove or take control of from the opponent in a game."
"capture","To store (as in sounds or image) for later revisitation."
"capture","To succeed in catching or seizing, especially after a chase."
"capture","To attract, arouse and hold attention and interest, as by charm or beauty."
"capture","To capture as if by hunting, snaring, or trapping."
"soon","at the time following immediately the time when"
"soon","In a near future."
"children","Plural form of child."
"crash","The occurrence when two object forcefully impact on each other."
"crash","A computer malfunction that makes the system either partially or totally inoperable."
"crash","Sudden dramatic decline of stock prices at stock markets."
"crash","To collide with something destructively, fall or come down violently."
"crash","To attend a social event without invitation."
"crash","To undergo damage or destruction on impact."
"clean","Not dirty."
"clean","To remove dirt, dust or foreign matter from."
"clean","To remove unwanted substances from (e.g. food), such as feathers, peels or pits."
"clear","To eliminate ambiguity or doubt about something."
"clear","Free of ambiguity or doubt."
"clear","Without fog."
"clear","To settle, as of a debt."
"clear","To earn, to gain (money)."
"clarify","To eliminate ambiguity or doubt about something."
"clarify","To make clear or obvious."
"clarify","To make clear or bright by freeing from foreign substances."
"polite","Good mannered."
"climb","To ascend; to go up."
